Company Name,Contact Email,Email exe,Subject,Mailbody
Google,press@google.com,sundar@google.com,Urging Google to Uphold Ethical Standards in Global Contracts,"Dear Google,
As a concerned global citizen and user of your services, I’m deeply troubled by your involvement in Project Nimbus. Collaborating on cloud infrastructure that may support military operations against Palestinians raises serious ethical concerns.

I urge Google to reconsider its role in such projects and adopt transparent, human rights–focused policies for all future contracts. Technology should empower people, not contribute to oppression.

Sincerely,"
Amazon,press@amazon.com,andy@amazon.com,Please Align AWS and Amazon Investments with Human Rights,"Dear Amazon,

I’m writing out of deep concern regarding Amazon’s $7.2 billion investment in data centers in Israel via AWS. Such actions risk enabling technology that supports the ongoing oppression of Palestinians.

I urge Amazon to align its operations with ethical practices and human rights principles. Large-scale infrastructure should not come at the cost of justice and dignity.

Please lead with conscience.

Sincerely,"
Microsoft,press@microsoft.com,satyanad@microsoft.com,Urging Microsoft to Act Responsibly in Global Engagements,"Dear Microsoft,

I’m concerned about Microsoft’s expanding investments in Israel, including new data centers that may support systems used in the oppression of Palestinians.

I believe a company of your influence has a responsibility to ensure its technology is not complicit in human rights violations. Please reconsider your involvement and adopt transparent ethical standards in your operations globally.

Thank you,"
Meta (Facebook),press@fb.com,zuck@fb.com,Stop Suppressing Voices on Your Platforms,"Dear Meta,

I’m writing to express concern over the ongoing censorship of Palestinian voices across Meta platforms. Silencing content that highlights human rights abuses undermines freedom of expression and deepens injustice.

I urge Meta to implement fair, unbiased moderation policies that uphold the rights of all communities, including Palestinians.

Please choose transparency and accountability.

Sincerely,"
HP Inc.,global.media.relations@hp.com,ceo-office@hp.com,End HP's Role in Oppression Through Surveillance Technologies,"Dear HP,

I’m deeply concerned about HP’s role in operating Israel’s biometric ID system and other infrastructure used by the IDF to restrict Palestinian movement.

As a user and global citizen, I urge HP to stop supplying technology that enables human rights abuses. No tech company should be complicit in segregation or military control.

Please take responsibility and adopt ethical, human rights–centered practices.

Sincerely,"
BlackRock,media@blackrock.com,larry.fink@blackrock.com,Divest from Weapons and Human Rights Violations,"Dear BlackRock,

Your firm’s investments in weapons manufacturers and companies tied to conflict and occupation are alarming. As the world’s largest asset manager, you have a responsibility to lead with ethical investment choices.

I urge BlackRock to divest from companies contributing to violence, war, and oppression—including those supplying arms used against civilians.

Invest in peace, not profit from destruction.

Sincerely,"
Vanguard,press@vanguard.com,timothy.curby@vanguard.com,Vanguard Must Stop Investing in Weapons and Oppression,"Dear Vanguard,

I’m reaching out to ask that Vanguard divest from weapons manufacturers and companies involved in the oppression of Palestinians and other communities worldwide.

Responsible investing means ensuring that portfolios do not fund human rights violations. I urge Vanguard to adopt strict ethical investment guidelines and lead with accountability.

Please act with conscience.

Sincerely,"
JPMorgan Chase,media@jpmchase.com,jamie.dimon@jpmchase.com,Urging JPMorgan to Reconsider Military-Focused Investments,"Dear JPMorgan,

I’m writing to express concern over JPMorgan’s continued funding of military contractors and industries involved in conflict and human rights violations.

As a major financial institution, your influence is vast. I urge you to divest from military-linked contracts and shift toward ethical, humanitarian-focused investments that prioritize peace and justice.

Please lead responsibly.

Sincerely,"
Puma,press@puma.com,kerstin.neuber@puma.com,Drop Sponsorship of Teams in Illegal Israeli Settlements,"Dear Puma,

I am concerned about your sponsorship of the Israeli Football Association, which includes teams in illegal settlements on occupied Palestinian land.

By supporting this, Puma risks being complicit in the normalization of occupation and land theft. I urge you to end this sponsorship and respect international law and human rights.

Please take a stand for justice and equality.

Sincerely,"
Airbnb,press@airbnb.com,brian@airbnb.com,Stop Listing Rentals in Occupied Palestinian Territory,"Dear Airbnb,

Airbnb’s continued listings in illegally occupied Palestinian territory contradict your stated values. Reversing your 2018 decision to remove these properties undermines accountability and human rights.

I urge Airbnb to remove all listings in occupied land and stand on the side of justice and international law.

Do better.

Sincerely,"
Starbucks,press@starbucks.com,howard.schultz@starbucks.com,Hold Starbucks Accountable for Funding Oppression,"Dear Starbucks,

Howard Schultz, Starbucks’ largest shareholder, has invested heavily in Israeli ventures, including a $1.7 billion investment in Wiz, a cybersecurity firm with military applications.

This financial support contributes to the ongoing oppression of Palestinians. I urge Starbucks to distance itself from such investments and uphold ethical, inclusive business values.

Stand with justice.

Sincerely,"
McDonald's,media.relations@us.mcd.com,chris.kempczinski@mcd.com,End Support for Military Forces in Occupied Palestine,"Dear McDonald’s,

Reports show that McDonald’s Israel has provided free food to IDF personnel during the assault on Gaza. Supporting an army involved in the occupation and killing of civilians is deeply unethical.

I call on McDonald’s to denounce such actions and ensure franchisees do not act in ways that contradict human rights and neutrality.

Do what’s right.

Sincerely,"
AeroVironment (AVAV),customerservice@avinc.com,darren.jonah@avinc.com,End Drone Sales that Enable Oppression and Occupation,"Dear AeroVironment,

I am writing to urge you to end your company’s provision of drones and related technology to the Israeli military, which has used them in surveillance and lethal operations against Palestinians.

Your products are contributing to human rights abuses and violations of international law. I call on AeroVironment to halt all sales that enable occupation and military violence.

Technology should serve humanity, not harm it.

Sincerely,"
Agilite,info@agilitegear.com,ceo@agilitegear.com,Stop Equipping Forces That Violate Human Rights,"Dear Agilite,

I am deeply concerned about Agilite’s role in equipping Israeli forces and marketing tactical gear used in military operations that violate Palestinian rights.

Your company profits from occupation and militarization. I urge you to reevaluate your business practices and stop supplying gear used to enforce systemic injustice.

Stand for ethics, not violence.

Sincerely,"
Aimpoint,support@aimpoint.us,ceo@aimpoint.us,Stop Supplying Optics for Use in Occupation and Military Repression,"Dear Aimpoint,

It is troubling that Aimpoint’s optical sights and aiming systems are used by military forces involved in the occupation of Palestine. These tools play a direct role in lethal operations.

I urge Aimpoint to adopt a human rights policy that prevents your products from being used in violations of international law. You have the power to act responsibly.

Choose ethics over profit.

Sincerely,"
AM General,azimmerm@amgeneral.com,ceo@amgeneral.com,End Military Sales That Support Human Rights Violations,"Dear AM General,

I’m reaching out to express concern over AM General’s sale of military vehicles used by the Israeli military in occupied Palestine. These vehicles have been deployed in operations that result in civilian harm and oppression.

Please reconsider your partnerships and adopt strict guidelines to ensure your products are not used in human rights abuses.

Accountability is your responsibility.

Sincerely,"
